BField (G),freq polarisation=-1,rel. intensity polarisation=-1,freq polarisation=0,rel. intensity polarisation=0,freq polarisation=1,rel. intensity polarisation=1
968.7000000001517,2259.130343528094,0.08352099999999998,452.5298910231511,0.16646400000000003,-1354.0963534913928,0.25
968.8000000001517,2259.3636141486286,0.08352099999999998,452.57654506242886,0.16646400000000003,-1354.2363159517508,0.25
968.9000000001517,2259.596884769193,0.08352099999999998,452.6231991017295,0.16646400000000003,-1354.376278412109,0.25
969.0000000001518,2259.8301553897863,0.08352099999999998,452.6698531410534,0.16646400000000003,-1354.516240872468,0.25
969.1000000001518,2260.0634260104107,0.08352099999999998,452.7165071804019,0.16646400000000003,-1354.656203332826,0.25
969.2000000001518,2260.2966966310655,0.08352099999999998,452.7631612197731,0.16646400000000003,-1354.7961657931842,0.25
969.3000000001518,2260.52996725175,0.08352099999999998,452.80981525916764,0.16646400000000003,-1354.936128253543,0.25
969.4000000001519,2260.7632378724657,0.08352099999999998,452.8564692985866,0.16646400000000003,-1355.076090713901,0.25
969.5000000001519,2260.99650849321,0.08352099999999998,452.9031233380284,0.16646400000000003,-1355.2160531742593,0.25
969.6000000001519,2261.2297791139854,0.08352099999999998,452.94977737749355,0.16646400000000003,-1355.3560156346182,0.25
969.7000000001519,2261.4630497347916,0.08352099999999998,452.9964314169831,0.16646400000000003,-1355.4959780949762,0.25
969.800000000152,2261.696320355628,0.08352099999999998,453.0430854564953,0.16646400000000003,-1355.6359405553344,0.25
969.900000000152,2261.9295909764937,0.08352099999999998,453.0897394960309,0.16646400000000003,-1355.7759030156933,0.25
970.000000000152,2262.16286159739,0.08352099999999998,453.1363935355903,0.16646400000000003,-1355.9158654760515,0.25
970.100000000152,2262.3961322183172,0.08352099999999998,453.18304757517376,0.16646400000000003,-1356.0558279364095,0.25
970.200000000152,2262.629402839274,0.08352099999999998,453.22970161477974,0.16646400000000003,-1356.1957903967684,0.25
970.3000000001521,2262.862673460261,0.08352099999999998,453.2763556544094,0.16646400000000003,-1356.3357528571266,0.25
970.4000000001521,2263.095944081279,0.08352099999999998,453.3230096940632,0.16646400000000003,-1356.4757153174846,0.25
970.5000000001521,2263.329214702326,0.08352099999999998,453.36966373373957,0.16646400000000003,-1356.6156777778435,0.25
